ORIGINAL DATA,,,,,
Time,lambda2 Reactor,T2,TIC1,c,f
1.09,0,24.04,27.86,NaN,0
1.59,0,24.01,27.83,NaN,0
2.12,0,24.01,27.83,NaN,0
2.64,0,24.01,27.86,NaN,0
3.11,0.24,23.98,27.83,NaN,0
3.61,0.29,23.98,27.89,NaN,0
4.14,0.29,23.98,27.83,NaN,0
4.65,0.29,23.96,27.83,NaN,0
5.09,0.29,23.96,27.86,NaN,0
5.59,0.29,23.93,27.83,NaN,0
6.09,0.29,23.96,27.83,NaN,0
6.59,0.29,23.96,27.83,NaN,0
7.09,0.29,23.93,27.83,NaN,0
7.87,0.29,23.93,27.83,NaN,0
8.09,0.29,23.93,27.83,NaN,0
8.59,0.29,23.9,27.83,NaN,0
9.09,0.29,23.87,27.83,NaN,0
25.67,0.29,23.9,27.8,NaN,0
25.72,0.29,23.87,27.83,NaN,0
26.09,0.29,23.85,27.83,NaN,0
26.6,0.29,23.87,27.83,NaN,0
27.11,0.29,23.82,27.83,NaN,0
27.59,0.29,23.85,27.83,NaN,0
28.09,0.29,23.82,27.83,NaN,0
28.59,0.29,23.82,27.83,NaN,0
29.09,0.29,23.82,27.83,NaN,0
29.61,0.29,23.82,27.86,NaN,0
30.09,0.29,23.82,27.83,NaN,0
30.59,0.29,23.82,27.89,NaN,0
31.1,0.29,23.82,27.86,NaN,0
31.6,0.29,23.82,27.86,NaN,0
32.09,0.29,23.82,27.86,NaN,0
32.59,0.29,23.79,27.89,NaN,0
33.09,0.29,23.82,27.86,NaN,0
33.59,0.29,23.82,27.86,NaN,0
34.09,0.29,23.82,27.86,NaN,0
34.59,0.29,23.82,27.86,NaN,0
35.09,0.29,23.79,27.86,NaN,0
35.59,0.29,23.82,27.86,NaN,0
36.09,0.29,23.82,27.86,NaN,0
36.59,0.29,23.82,27.86,NaN,0
37.09,0.29,23.79,27.86,NaN,0
37.59,0.29,23.82,27.8,NaN,0
38.09,0.29,23.79,27.86,NaN,0
38.59,0.29,23.85,27.83,NaN,0
39.09,0.29,23.82,27.83,NaN,0
39.59,0.29,23.82,27.83,NaN,0
40.09,0.34,23.82,27.86,NaN,0
40.59,0.34,23.82,27.83,NaN,0
41.09,0.34,23.82,27.83,NaN,0
41.59,0.34,23.82,27.83,NaN,0
42.09,0.34,23.79,27.83,NaN,0
42.59,0.34,23.77,27.8,NaN,0
43.09,0.34,23.79,27.8,NaN,0
43.59,0.34,23.77,27.83,NaN,0
44.09,0.34,23.77,27.83,NaN,0
44.59,0.34,23.79,27.83,NaN,0
45.09,0.34,23.79,27.83,NaN,0
45.59,0.34,23.79,27.83,NaN,0
46.09,0.34,23.79,27.83,NaN,0
46.59,0.34,23.79,27.83,NaN,0
47.09,0.34,23.79,27.86,NaN,0
47.59,0.34,23.79,27.8,NaN,0
48.09,0.34,23.77,27.8,NaN,0
48.59,0.34,23.79,27.83,NaN,0
49.09,0.34,23.79,27.83,NaN,0
49.59,0.34,23.77,27.83,NaN,0
50.09,0.34,23.79,27.83,NaN,0
50.59,0.34,23.77,27.83,NaN,0
51.09,0.34,23.77,27.83,NaN,0
51.59,0.34,23.79,27.86,NaN,0
52.09,0.34,23.79,27.83,NaN,0
52.59,0.34,23.79,27.83,NaN,0
53.09,0.34,23.77,27.8,NaN,0
53.59,0.34,23.77,27.83,NaN,0
54.09,0.34,23.77,27.77,NaN,0
54.59,0.34,23.77,27.83,NaN,0
55.09,0.34,23.77,27.83,NaN,0
55.59,0.34,23.82,27.86,NaN,0
56.09,0.34,23.77,27.83,NaN,0
56.59,0.34,23.79,27.8,NaN,0
57.09,0.34,23.77,27.83,NaN,0
57.59,0.34,23.79,27.83,NaN,0
58.09,0.34,23.77,27.8,NaN,0
58.59,0.34,23.77,27.83,NaN,0
59.09,0.34,23.79,27.83,NaN,0
59.59,0.34,23.79,27.8,NaN,0
60.09,0.34,23.77,27.83,NaN,0
60.59,0.34,23.77,27.83,NaN,0
61.09,0.34,23.79,27.8,NaN,0
61.59,0.34,23.79,27.83,NaN,0
62.09,0.34,23.79,27.83,NaN,0
62.59,0.34,23.77,27.83,NaN,0
63.09,0.34,23.79,27.83,NaN,0
63.59,0.34,23.77,27.8,NaN,0
64.09,0.34,23.82,27.83,NaN,0
64.59,0.34,23.77,27.83,NaN,0
65.09,0.34,23.77,27.83,NaN,0
65.59,0.34,23.77,27.83,NaN,0
66.09,0.29,23.77,27.83,NaN,0
66.59,0.29,23.74,27.83,NaN,0
67.09,0.29,23.77,27.83,NaN,0
67.59,0.29,23.79,27.83,NaN,0
68.09,0.29,23.79,27.83,NaN,0
68.59,0.29,23.77,27.83,NaN,0
69.09,0.24,23.79,27.83,NaN,0
69.59,0.29,23.82,27.83,NaN,0
70.09,0.24,23.79,27.83,NaN,0
70.59,0.24,23.79,27.8,NaN,0
71.09,0.24,23.77,27.83,NaN,0
71.59,0.24,23.79,27.83,NaN,0
72.09,0.24,23.77,27.83,NaN,0
72.59,0.24,23.82,27.83,NaN,0
