G.U.N.T. Gerдtebau GmbH
CE310.02



lambda0	0.00mS/cm
lambda_inf	0.00mS/cm
c0	0.00mol/l
k	0.00l/mol/s
T2_m	NaN°C
T3_m	0.00°C

Time	lambda1	lambda2
1.26	0.00	0.00
1.72	0.00	0.00
2.26	0.00	0.00
2.76	0.00	0.00
3.22	0.54	0.39
3.76	0.59	0.39
4.26	0.63	0.39
4.72	0.63	0.39
5.22	0.63	0.39
5.72	0.63	0.39
6.22	0.63	0.39
6.72	0.63	0.39
7.22	0.63	0.39
7.72	0.63	0.39
8.22	0.63	0.39
8.72	0.63	0.39
9.22	0.63	0.39
9.72	0.59	0.39
10.22	0.59	0.39
10.72	0.59	0.39
11.22	0.59	0.39
11.72	0.59	0.44
12.22	0.59	0.44
12.72	0.59	0.44
13.22	0.59	0.44
13.72	0.59	0.44
14.22	0.59	0.44
14.72	0.59	0.44
15.22	0.59	0.44
15.72	0.59	0.44
16.22	0.59	0.44
16.72	0.59	0.44
17.22	0.59	0.44
17.72	0.59	0.44
18.22	0.63	0.44
18.72	0.63	0.44
19.22	0.63	0.44
19.72	0.63	0.44
20.22	0.59	0.39
20.72	0.63	0.44
21.22	0.59	0.39
21.72	0.63	0.39
22.22	0.59	0.39
22.72	0.59	0.44
23.22	0.59	0.44
23.72	0.59	0.44
24.22	0.59	0.44
24.72	0.59	0.44
25.22	0.59	0.44
25.72	0.63	0.44
26.22	0.59	0.44
26.72	0.59	0.44
27.22	0.59	0.44
27.72	0.59	0.44
28.22	0.59	0.44
28.72	0.63	0.39
29.22	0.59	0.39
29.72	0.59	0.44
30.22	0.59	0.39
30.72	0.59	0.39
31.22	0.59	0.39
31.72	0.63	0.39
32.22	0.63	0.39
32.72	0.63	0.39
33.22	0.63	0.39
33.72	0.63	0.44
34.22	0.63	0.44
34.72	0.63	0.44
35.22	0.63	0.44
35.72	0.63	0.44
36.22	0.63	0.44
36.72	0.63	0.44
37.22	0.63	0.44
37.72	0.63	0.44
38.22	0.59	0.39
38.72	0.63	0.44
39.22	0.63	0.44
39.72	0.63	0.44
40.22	0.63	0.39
40.72	0.59	0.44
41.22	0.59	0.39
41.72	0.59	0.44
42.22	0.63	0.39
42.72	0.63	0.44
43.22	0.63	0.44
43.72	0.63	0.44
44.22	0.63	0.44
44.72	0.63	0.39
45.22	0.63	0.39
45.72	0.63	0.39
